TRACKINGNUMBER,NAME,CITY,ADDRESS,LONGITUDE,LATITUDE,UTMX,UTMY
MARO-AWVUPN,Crispy Falafel,Surrey,16050 24 Ave,-122.77767944,49.04470444,516246.52322412166,5432449.185555948
MARO-AZ7VFD,Barcelo's Flame Grilled Chicken (24th Ave),Surrey,16070 24 Ave,-122.77735138,49.04520035,516270.335063849,5432504.384195944
SHEN-AU2Q9Y,Islands Cafe,Surrey,16041 24 Ave,-122.77770233,49.0463028,516244.3298487438,5432626.863971766
SHEN-APFUB3,S & L Kitchen & Bar South Surrey,Surrey,16051 24 Ave,-122.77749634,49.04582596,516259.53795965924,5432573.899690295
SWOD-9Z3MVN,Pizza Avenue,Surrey,16780 64 Ave,-122.75753784,49.11868668,517692.110827909,5440678.055398303
GEDS-7ANM86,Clover Ridge Pizza,Surrey,5989 168 St,-122.75683594,49.11117172,517746.00792422175,5439842.801410962
SWOD-9YWNBN,Surrey Golf Club Kitchen,Surrey,7700 168 St,-122.75631714,49.14223862,517772.7627661086,5443296.554615971
SCOH-AZ3LXD,Tynehead Esso - Food Service,Surrey,16815 96th Ave,-122.75586041,49.17726386,517793.5219788319,5447190.354827373
SWOD-AGVUA9,The Chopped Leaf (Hwy 10),Surrey,17433 Hwy 10,-122.74012182,49.1043698,518968.388692658,5439090.699242576
HCAR-CGJRSN,Vera's Burger Shack (Brickyard),Surrey,17449 56th Ave,-122.73965322,49.10405808,519002.7105827701,5439056.1636047885
NDAA-9C5T5J,Tim Hortons #4373 Country Woods,Surrey,3233 176 St,-122.73584747,49.06053543,519297.3476754581,5434218.8561300505
HCAR-CEYTWQ,Ken's Cafe and Restaurant,Surrey,5695 176th St,-122.73504183,49.10588081,519338.5872710268,5439259.957574886
GEDS-659V7Q,Valley Curling Club Bar,Surrey,6150 176th St,-122.73493507,49.11381114,519343.2961806154,5440141.57749817
A018637    ,Elena's Country Kitchen,Surrey,5630 176 St,-122.73475647,49.10466003,519359.88982212514,5439124.3198199645
SWOD-9UHPGQ,Republica Coffee Roasters,Surrey,5674 176 St,-122.73477173,49.10548019,519358.45696866687,5439215.49074743
NDAA-92VQNS,Pizza Hut #31146,Surrey,17700 Hwy 10,-122.73266352,49.1038986,519512.9507742272,5439040.210539322
ACAK-96MQ7L,Elements Casino - Main Kitchen,Surrey,17755 60 Ave,-122.72962952,49.11171722,519731.3023702461,5439910.169855364
GEDS-68HREG,McDonald's (Cloverdale),Surrey,17960 56 Ave,-122.72524261,49.10399246,520054.5662889398,5439052.581593376
HCAR-CJJTMH,Booster Juice #273,Surrey,18640 Fraser Hwy,-122.70609458,49.12546293,521442.9246320298,5441444.637808253
HCAR-CGKPXM,Truckin' BBQ (Surrey),Surrey,18690 Fraser Hwy,-122.70401783,49.12447159,521594.87166550854,5441335.022829435
GEDS-6MFQTB,Subway #23526,Surrey,18775 Fraser Hwy,-122.70209503,49.12479401,521735.0181405067,5441371.415198386
A020119    ,La Charcuterie Deli,Surrey,19080 96 Ave,-122.69441223,49.17683792,522272.2091762785,5447159.2620135425
HHIN-B65QE3,Maritime Seafoods Inc.,Surrey,19162 22 Ave,-122.69278717,49.04185104,522451.47434798337,5432153.635294981
NDAA-9GVU9Z,Kalamaki Greek Grill,Surrey,2711 192 St,-122.69181824,49.05150986,522517.9229374487,5433227.654220769
MARO-AZHTMX,Hugo's Mexican Kitchen,Surrey,19181 Fraser Hwy,-122.69120789,49.11938095,522531.79027525696,5440772.839396862
HCAR-BK2RDU,Snack Stop & Convenience Store,Surrey,9613 192 St,-122.6907196,49.17736053,522541.10210660007,5447218.452548818
GEDS-85SR8F,Tim Hortons #3676,Surrey,19218 96 Ave,-122.69007874,49.17677689,522588.0750491497,5447153.761187464
GEDS-82BRGL,Pizza Inn,Surrey,19390 68 Ave,-122.68582153,49.12623978,522921.6576257596,5441536.933160428
HCAR-BRXNKZ,Hiroshi Japanese Ramen,Surrey,19531 Fraser Hwy,-122.68186544,49.11507539,523215.49389934354,5440297.021830797
SHEN-AP8PBW,H-Mart Hot Food,Surrey,19555 Fraser Hwy,-122.6811142,49.11473846,523270.4722757641,5440259.796656801
